anio,agrupacion,nivel,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
2015,ALIANZA FRENTE POPULAR,presidente,2,progresistas,-1.412,1.557,0.723
2015,ALIANZA PROGRESISTAS,presidente,2,progresistas,-1.268,1.642,0.492
2015,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),presidente,4,peronistas,0.376,-0.016,0.363
2015,CAMBIEMOS,presidente,5,liberales,1.401,-0.142,0.186
2015,FRENTE PARA LA VICTORIA,presidente,3,peronistas,-1.659,1.961,0.848
2015,MOVIMIENTO AL SOCIALISMO,presidente,1,marxistas,-1.991,2.325,0.723
2015,MOVIMIENTO DE ACCION VECINAL,presidente,4,vecinalismo,,,
2015,MST - NUEVA IZQUIERDA,presidente,1,marxistas,-1.991,2.325,0.723
2015,PARTIDO POPULAR,presidente,4,peronismo provincial,,,
2017,1PAIS,municipal,3,peronistas,0.369,0.123,0.43
2017,CAMBIEMOS BUENOS AIRES,municipal,5,liberales,1.418,-0.055,0.145
2017,CORRIENTE DE PENSAMIENTO BONAERENSE (CO.PE.BO),municipal,4,peronistas,,,
2017,ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO,municipal,1,progresistas,,,
2017,FEDERAL,municipal,4,peronismo provincial,,,
2017,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,municipal,1,marxistas,-1.991,2.325,0.723
2017,FRENTE JUSTICIALISTA,municipal,3,peronistas,-0.101,0.947,0.479
2017,FRENTE UNION FEDERAL,municipal,4,peronismo provincial,,,
2017,IZQUIERDA AL FRENTE POR EL SOCIALISMO,municipal,1,marxistas,-1.991,2.325,0.723
2017,PARTIDO RENOVADOR FEDERAL,municipal,4,peronistas,0.376,-0.016,0.363
2017,PARTIDO SOCIALISTA,municipal,2,progresistas,-1.268,1.642,0.492
2017,TODOS POR BUENOS AIRES,municipal,3,conservadores,,,
2017,UNIDAD CIUDADANA,municipal,3,peronistas,-1.662,1.533,0.67
2017,UVEP-U. VECINALISTA PLATENSE,municipal,3,vecinalismo,,,
2017,VAMOS CREANDO CIUDAD NUEVA,municipal,1,progresistas,-1.991,1.557,0.821
2017,1PAIS,nacional,3,peronistas,0.369,0.123,0.43
2017,CAMBIEMOS BUENOS AIRES,nacional,5,liberales,1.418,-0.055,0.145
2017,CREO,nacional,5,liberales,,,
2017,DEL CAMPO POPULAR,nacional,4,otros,,,
2017,ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO,nacional,1,progresistas,,,
2017,FEDERAL,nacional,4,peronismo provincial,,,
2017,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,nacional,1,marxistas,-1.991,2.325,0.723
2017,FRENTE JUSTICIALISTA,nacional,3,peronistas,-0.101,0.947,0.479
2017,FRENTE PATRIOTA BANDERA VECINAL,nacional,6,nacionalistas,,,
2017,FRENTE SOCIALISTA Y POPULAR,nacional,2,progresistas,-1.268,1.642,0.492
2017,HUMANISTA,nacional,2,progresistas,,,
2017,IZQUIERDA AL FRENTE POR EL SOCIALISMO,nacional,1,marxistas,-1.991,2.325,0.723
2017,MOVIMIENTO AMPLIO DE TRABAJADORES Y JUBILADOS,nacional,2,progresistas,,,
2017,MOVIMIENTO ORGANIZACION DEMOCRATICA,nacional,3,otros,,,
2017,PATRIA GRANDE,nacional,2,progresistas,-1.991,1.557,0.821
2017,TODOS POR BUENOS AIRES,nacional,3,conservadores,,,
2017,UNIDAD CIUDADANA,nacional,3,peronistas,-1.662,1.533,0.67
2017,1PAIS,provincial,3,peronistas,0.369,0.123,0.43
2017,CAMBIEMOS BUENOS AIRES,provincial,5,liberales,1.418,-0.055,0.145
2017,CORRIENTE DE PENSAMIENTO BONAERENSE (CO.PE.BO),provincial,4,peronistas,,,
2017,ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO,provincial,1,progresistas,,,
2017,FEDERAL,provincial,4,peronismo provincial,,,
2017,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,provincial,1,marxistas,-1.991,2.325,0.723
2017,FRENTE JUSTICIALISTA,provincial,3,peronistas,-0.101,0.947,0.479
2017,FRENTE UNION FEDERAL,provincial,4,peronismo provincial,,,
2017,IZQUIERDA AL FRENTE POR EL SOCIALISMO,provincial,1,marxistas,-1.991,2.325,0.723
2017,PARTIDO RENOVADOR FEDERAL,provincial,4,peronistas,0.376,-0.016,0.363
2017,PARTIDO SOCIALISTA,provincial,2,progresistas,-1.268,1.642,0.492
2017,PATRIA GRANDE,provincial,2,progresistas,-1.991,1.557,0.821
2017,TODOS POR BUENOS AIRES,provincial,3,conservadores,,,
2017,UNIDAD CIUDADANA,provincial,3,peronistas,-1.662,1.533,0.67
2019,CONSENSO FEDERAL,gobernacion,4,peronismo provincial,0.073,0.34,0.329
2019,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,gobernacion,1,marxistas,-1.991,2.325,0.723
2019,FRENTE DE TODOS,gobernacion,3,peronistas,-0.465,1.069,0.642
2019,FRENTE NOS,gobernacion,4,nacionalistas,2.641,-1.260,0.237
2019,FRENTE PATRIOTA,gobernacion,6,nacionalistas,,,
2019,JUNTOS POR EL CAMBIO,gobernacion,5,liberales,1.401,-0.142,0.186
2019,MOVIMIENTO DE AVANZADA SOCIALISTA,gobernacion,1,marxistas,-1.991,2.325,0.723
2019,MOVIMIENTO ORGANIZACION DEMOCRATICA,gobernacion,3,otros,,,
2019,PARTIDO DIGNIDAD POPULAR,gobernacion,6,nacionalistas,,,
2019,ALTERNATIVA VECINAL PLATENSE,intendente,3,vecinalismo,,,
2019,CONSENSO FEDERAL,intendente,4,peronismo provincial,0.073,0.34,0.329
2019,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,intendente,1,marxistas,-1.991,2.325,0.723
2019,FRENTE DE TODOS,intendente,3,peronistas,-0.465,1.069,0.642
2019,FRENTE NOS,intendente,4,nacionalistas,2.641,-1.260,0.237
2019,FRENTE PATRIOTA,intendente,6,nacionalistas,,,
2019,JUNTOS POR EL CAMBIO,intendente,5,liberales,1.401,-0.142,0.186
2019,MOVIMIENTO DE AVANZADA SOCIALISTA,intendente,1,marxistas,-1.991,2.325,0.723
2019,MOVIMIENTO ORGANIZACION DEMOCRATICA,intendente,3,otros,,,
2019,PARTIDO DIGNIDAD POPULAR,intendente,6,nacionalistas,,,
2019,PARTIDO HUMANISTA,intendente,2,progresistas,-1.412,1.557,0.723
2019,CONSENSO FEDERAL,presidente,4,peronismo provincial,0.073,0.34,0.329
2019,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,presidente,1,marxistas,-1.991,2.325,0.723
2019,FRENTE DE TODOS,presidente,3,peronistas,-0.465,1.069,0.642
2019,FRENTE NOS,presidente,4,nacionalistas,2.641,-1.260,0.237
2019,FRENTE PATRIOTA,presidente,6,nacionalistas,,,
2019,JUNTOS POR EL CAMBIO,presidente,5,liberales,1.401,-0.142,0.186
2019,MOVIMIENTO AL SOCIALISMO,presidente,1,marxistas,-1.991,2.325,0.723
2019,MOVIMIENTO DE ACCION VECINAL,presidente,4,vecinalismo,,,
2019,PARTIDO AUTONOMISTA,presidente,2,conservadores,,,
2019,UNITE POR LA LIBERTAD Y LA DIGNIDAD,presidente,6,liberales,2.641,-1.260,0.237
2021,AVANZA LIBERTAD,municipal,6,liberales,2.641,-1.260,0.237
2021,CONSERVADOR POPULAR,municipal,5,conservadores,,,
2021,CORRIENTE DE PENSAMIENTO BONAERENSE,municipal,4,peronistas,,,
2021,FEDERAL,municipal,4,peronismo provincial,,,
2021,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,municipal,1,marxistas,-1.991,2.325,0.723
2021,FRENTE DE TODOS,municipal,3,peronistas,-0.465,1.069,0.642
2021,FRENTE PATRIOTA,municipal,6,nacionalistas,,,
2021,FRENTE VAMOS CON VOS,municipal,4,peronismo provincial,0.325,-0.492,0.334
2021,HUMANISTA,municipal,2,progresistas,,,
2021,JUNTOS,municipal,5,liberales,1.401,-0.141,0.186
2021,MOVIMIENTO AL SOCIALISMO,municipal,1,marxistas,-1.991,2.325,0.723
2021,MOVIMIENTO ORGANIZACION DEMOCRATICA,municipal,3,otros,,,
2021,RENOVADOR FEDERAL,municipal,4,peronistas,0.376,-0.016,0.363
2021,REPUBLICANO FEDERAL,municipal,4,conservadores,0.325,-0.492,0.334
2021,TODOS POR BUENOS AIRES,municipal,3,conservadores,,,
2021,UNION CELESTE Y BLANCO,municipal,4,peronistas,0.376,-0.016,0.363
2021,UNION POR TODOS,municipal,5,conservadores,,,
2021,VOCACION SOCIAL,municipal,2,progresistas,,,
2021,+ VALORES,nacional,5,nacionalistas,0.325,-0.492,0.334
2021,AVANZA LIBERTAD,nacional,6,liberales,2.641,-1.260,0.237
2021,CELESTE PROVIDA,nacional,6,nacionalistas,,,
2021,CONSERVADOR POPULAR,nacional,5,conservadores,,,
2021,CORRIENTE DE PENSAMIENTO BONAERENSE,nacional,4,peronistas,,,
2021,ESPERANZA DEL PUEBLO,nacional,6,nacionalistas,,,
2021,FEDERAL,nacional,4,peronismo provincial,,,
2021,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,nacional,1,marxistas,-1.991,2.325,0.723
2021,FRENTE DE TODOS,nacional,3,peronistas,-0.465,1.069,0.642
2021,FRENTE PATRIOTA,nacional,6,nacionalistas,,,
2021,FRENTE UNION POR EL FUTURO,nacional,5,liberales,,,
2021,FRENTE VAMOS CON VOS,nacional,4,peronismo provincial,0.325,-0.492,0.334
2021,JUNTOS,nacional,5,liberales,1.401,-0.141,0.186
2021,JUSTICIA Y DIGNIDAD PATRIOTICA,nacional,6,nacionalistas,,,
2021,LABORISTA,nacional,3,peronistas,,,
2021,MORAL Y PROGRESO,nacional,5,liberales,,,
2021,MOVIMIENTO AL SOCIALISMO,nacional,1,marxistas,-1.991,2.325,0.723
2021,POLITICA OBRERA,nacional,1,marxistas,-1.991,2.325,0.723
2021,POPULAR,nacional,2,progresistas,,,
2021,"PROYECTO JUSTO, SOCIAL Y HUMANISTA",nacional,2,progresistas,,,
2021,REPUBLICANO FEDERAL,nacional,4,conservadores,0.325,-0.492,0.334
2021,TODOS POR BUENOS AIRES,nacional,3,conservadores,,,
2021,UNIDAD SOCIAL,nacional,4,progresistas,,,
2021,VERDE,nacional,2,progresistas,-1.991,1.557,0.821
2021,VOCACION SOCIAL,nacional,2,progresistas,,,
2021,AVANZA LIBERTAD,provincial,6,liberales,2.641,-1.260,0.237
2021,CONSERVADOR POPULAR,provincial,5,conservadores,,,
2021,CORRIENTE DE PENSAMIENTO BONAERENSE,provincial,4,peronistas,,,
2021,FEDERAL,provincial,4,peronismo provincial,,,
2021,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,provincial,1,marxistas,-1.991,2.325,0.723
2021,FRENTE DE TODOS,provincial,3,peronistas,-0.465,1.069,0.642
2021,FRENTE PATRIOTA,provincial,6,nacionalistas,,,
2021,FRENTE VAMOS CON VOS,provincial,4,peronismo provincial,0.325,-0.492,0.334
2021,HUMANISTA,provincial,2,progresistas,,,
2021,JUNTOS,provincial,5,liberales,1.401,-0.141,0.186
2021,MOVIMIENTO AL SOCIALISMO,provincial,1,marxistas,-1.991,2.325,0.723
2021,MOVIMIENTO ORGANIZACION DEMOCRATICA,provincial,3,otros,,,
2021,RENOVADOR FEDERAL,provincial,4,peronistas,0.376,-0.016,0.363
2021,REPUBLICANO FEDERAL,provincial,4,conservadores,0.325,-0.492,0.334
2021,TODOS POR BUENOS AIRES,provincial,3,conservadores,,,
2021,UNION CELESTE Y BLANCO,provincial,5,liberales,,,
2021,UNION POR TODOS,provincial,5,conservadores,,,
2021,VOCACION SOCIAL,provincial,2,progresistas,,,
2023,BUENOS AIRES PRIMERO (BAP),gobernacion,6,liberales,,,
2023,CELESTE PROVIDA,gobernacion,6,nacionalistas,,,
2023,CONFIANZA PUBLICA,gobernacion,4,progresistas,,,
2023,CORRIENTE DE PENSAMIENTO BONAERENSE,gobernacion,6,peronistas,,,
2023,ESPERANZA DEL PUEBLO,gobernacion,6,nacionalistas,,,
2023,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,gobernacion,1,marxistas,-1.991,2.325,0.723
2023,FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,gobernacion,3,peronismo provincial,,,
2023,FRENTE PATRIOTA FEDERAL,gobernacion,6,nacionalistas,,,
2023,JUNTOS POR EL CAMBIO,gobernacion,5,liberales,1.401,-0.1415,0.186
2023,JUSTICIA Y DIGNIDAD PATRIOTICA,gobernacion,6,nacionalistas,,,
2023,LA LIBERTAD AVANZA,gobernacion,6,liberales,2.641,-1.260,0.237
2023,LIBER.AR,gobernacion,6,liberales,2.641,-1.260,0.237
2023,MOVIMIENTO DE AVANZADA SOCIALISTA,gobernacion,1,marxistas,-1.991,2.325,0.723
2023,MOVIMIENTO DE INTEGRACION FEDERAL (MIF),gobernacion,6,peronistas,,,
2023,MOVIMIENTO LIBRES DEL SUR,gobernacion,2,progresistas,-1.412,1.557,0.723
2023,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,gobernacion,4,peronistas,,,
2023,POLITICA OBRERA,gobernacion,1,marxistas,-1.991,2.325,0.723
2023,PRINCIPIOS Y VALORES,gobernacion,4,peronistas,-0.833,-0.748,0.529
2023,PROYECTO JOVEN,gobernacion,3,otros,,,
2023,TODOS POR BUENOS AIRES,gobernacion,3,conservadores,,,
2023,UNIDAD SOCIAL,gobernacion,2,progresistas,,,
2023,UNION POR LA PATRIA,gobernacion,3,peronistas,-0.465,1.069,0.642
2023,VOCACION SOCIAL,gobernacion,2,progresistas,,,
2023,BUENOS AIRES PRIMERO (BAP),intendente,6,liberales,,,
2023,CELESTE PROVIDA,intendente,6,nacionalistas,,,
2023,CONFIANZA PUBLICA,intendente,4,progresistas,,,
2023,CORRIENTE DE PENSAMIENTO BONAERENSE,intendente,6,peronistas,,,
2023,ESPERANZA DEL PUEBLO,intendente,6,nacionalistas,,,
2023,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,intendente,1,marxistas,-1.991,2.325,0.723
2023,FRENTE FEDERAL DE ACCION SOLIDARIA DE LA PROVINCIA DE BUENOS AIRES,intendente,3,peronismo provincial,,,
2023,FRENTE H.A.C.E.R. POR PROGRESO SOCIAL,intendente,4,peronistas,,,
2023,FRENTE PATRIOTA FEDERAL,intendente,6,nacionalistas,,,
2023,JUNTOS POR EL CAMBIO,intendente,5,liberales,1.401,-0.1415,0.186
2023,LA LIBERTAD AVANZA,intendente,6,liberales,2.641,-1.260,0.237
2023,LIBER.AR,intendente,6,liberales,2.641,-1.260,0.237
2023,MOVIMIENTO DE AVANZADA SOCIALISTA,intendente,1,marxistas,-1.991,2.325,0.723
2023,MOVIMIENTO DE INTEGRACION FEDERAL (MIF),intendente,6,peronistas,,,
2023,MOVIMIENTO LIBRES DEL SUR,intendente,2,progresistas,-1.412,1.557,0.723
2023,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,intendente,4,peronistas,,,
2023,POLITICA OBRERA,intendente,1,marxistas,-1.991,2.325,0.723
2023,PRINCIPIOS Y VALORES,intendente,4,peronistas,-0.833,-0.748,0.529
2023,PROYECTO JOVEN,intendente,3,otros,,,
2023,TODOS POR BUENOS AIRES,intendente,3,conservadores,,,
2023,UNION POR LA PATRIA,intendente,3,peronistas,-0.465,1.069,0.642
2023,VOCACION SOCIAL,intendente,2,progresistas,,,
2023,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,presidente,1,marxistas,-1.991,2.325,0.723
2023,FRENTE LIBER.AR,presidente,6,liberales,2.641,-1.260,0.237
2023,FRENTE PATRIOTA FEDERAL,presidente,6,nacionalistas,1.579,-1.862,0.425
2023,HACEMOS POR NUESTRO PAIS,presidente,3,peronismo provincial,0.325,-0.492,0.334
2023,JUNTOS POR EL CAMBIO,presidente,5,liberales,1.401,-0.1415,0.186
2023,LA LIBERTAD AVANZA,presidente,6,liberales,2.641,-1.260,0.237
2023,MOVIMIENTO AL SOCIALISMO,presidente,1,marxistas,-1.991,2.325,0.723
2023,MOVIMIENTO DE ACCION VECINAL,presidente,4,vecinalismo,,,
2023,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,presidente,1,nacionalistas,,,
2023,MOVIMIENTO LIBRES DEL SUR,presidente,2,progresistas,-1.412,1.557,0.723
2023,POLITICA OBRERA,presidente,1,marxistas,-1.991,2.325,0.723
2023,PRINCIPIOS Y VALORES,presidente,4,peronistas,-0.833,-0.748,0.529
2023,PROYECTO JOVEN,presidente,3,otros,,,
2023,UNION DEL CENTRO DEMOCRATICO,presidente,4,liberales,2.365,-1.020,0.045
2023,UNION POR LA PATRIA,presidente,3,peronistas,-0.465,1.069,0.642
2025,ALIANZA ES CON VOS ES CON NOSOTROS,municipal,,,,,
2025,ALIANZA FUERZA PATRIA,municipal,3,peronistas,-0.465,1.069,0.642
2025,ALIANZA LA LIBERTAD AVANZA,municipal,6,liberales,2.641,-1.260,0.237
2025,ALIANZA NUEVOS AIRES,municipal,4,peronistas,0.376,-0.016,0.363
2025,ALIANZA POTENCIA,municipal,4,liberales,,,
2025,ALIANZA SOMOS BUENOS AIRES,municipal,4,radicalismo,0.325,0.533,0.334
2025,ALIANZA UNION LIBERAL,municipal,6,liberales,2.641,-1.260,0.237
2025,ALIANZA UNION Y LIBERTAD,municipal,6,liberales,2.641,-1.260,0.237
2025,CONSTRUYENDO PORVENIR,municipal,,,,,
2025,FTE. DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,municipal,1,marxistas,-1.991,2.325,0.723
2025,MOVIMIENTO AVANZADA SOCIALISTA,municipal,1,marxistas,-1.991,2.325,0.723
2025,ORG. SOC. DE LOS TRABAJADORES DE LA PLATA,municipal,1,marxistas,-1.991,2.325,0.723
2025,PARTIDO FRENTE PATRIOTA FEDERAL,municipal,6,nacionalistas,1.579,-1.862,0.425
2025,PARTIDO LIBERTARIO,municipal,6,liberales,2.641,-1.260,0.237
2025,PARTIDO POLITICA OBRERA,municipal,1,marxistas,-1.991,2.325,0.723
2025,PARTIDO TIEMPO DE TODOS,municipal,4,peronistas,0.376,-0.016,0.363
2025,VALORES REPUBLICANOS,municipal,,,,,
2025,ALIANZA FUERZA PATRIA,nacional,3,peronistas,-0.465,1.069,0.642
2025,ALIANZA LA LIBERTAD AVANZA,nacional,6,liberales,2.641,-1.260,0.237
2025,ALIANZA NUEVOS AIRES,nacional,4,peronistas,0.376,-0.016,0.363
2025,ALIANZA POTENCIA,nacional,4,liberales,,,
2025,ALIANZA PROVINCIAS UNIDAS,nacional,4,peronismo provincial,0.325,-0.492,0.334
2025,ALIANZA UNIÓN FEDERAL,nacional,4,peronismo provincial,,,
2025,COALICIÓN CÍVICA - A.R.I.,nacional,4,otros,0.452,0.288,0.403
2025,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,nacional,1,marxistas,-1.991,2.325,0.723
2025,FRENTE PATRIOTA FEDERAL,nacional,6,nacionalistas,1.579,-1.862,0.425
2025,LIBER.AR,nacional,6,liberales,2.641,-1.260,0.237
2025,MOVIMIENTO AVANZADA SOCIALISTA,nacional,1,marxistas,-1.991,2.325,0.723
2025,MOVIMIENTO POLÍTICO SOCIAL Y CULTURAL PROYECTO SUR,nacional,2,progresistas,-1.412,1.557,0.723
2025,PARTIDO NUEVO BUENOS AIRES,nacional,5,liberales,1.401,-0.142,0.186
2025,PROPUESTA FEDERAL PARA EL CAMBIO,nacional,5,liberales,1.410,-0.092,0.169
2025,UNIÓN LIBERAL,nacional,6,liberales,2.641,-1.260,0.237
2025,ALIANZA ES CON VOS ES CON NOSOTROS,provincial,,,,,
2025,ALIANZA FUERZA PATRIA,provincial,3,peronistas,-0.465,1.069,0.642
2025,ALIANZA LA LIBERTAD AVANZA,provincial,6,liberales,2.641,-1.260,0.237
2025,ALIANZA NUEVOS AIRES,provincial,4,liberales,,,
2025,ALIANZA POTENCIA,provincial,4,liberales,,,
2025,ALIANZA SOMOS BUENOS AIRES,provincial,4,radicalismo,0.325,0.533,0.334
2025,ALIANZA UNION LIBERAL,provincial,6,liberales,2.641,-1.260,0.237
2025,ALIANZA UNION Y LIBERTAD,provincial,6,liberales,2.641,-1.260,0.237
2025,CONSTRUYENDO PORVENIR,provincial,,,,,
2025,FTE. DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,provincial,1,marxistas,-1.991,2.325,0.723
2025,MOVIMIENTO AVANZADA SOCIALISTA,provincial,1,marxistas,-1.991,2.325,0.723
2025,ORG. SOC. DE LOS TRABAJADORES DE LA PLATA,provincial,1,marxistas,-1.991,2.325,0.723
2025,PARTIDO FRENTE PATRIOTA FEDERAL,provincial,6,nacionalistas,1.579,-1.862,0.425
2025,PARTIDO LIBERTARIO,provincial,6,liberales,2.641,-1.260,0.237
2025,PARTIDO POLITICA OBRERA,provincial,1,marxistas,-1.991,2.325,0.723
2025,PARTIDO TIEMPO DE TODOS,provincial,,,,,
2025,VALORES REPUBLICANOS,provincial,,,,,
